"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|ArterialBlood|Plasma|Aciclovir|Concentration in container [µmol/l]","Organism|ArterialBlood|Plasma|Aciclovir|Plasma Unbound [µmol/l]","Organism|ArterialBlood|BloodCells|Aciclovir|Concentration in container [µmol/l]","Organism|ArterialBlood|Aciclovir|Whole Blood [µmol/l]"
0,0,0,0,0,0,0
0,3,17.18956,17.58578,15.22476,10.68217,14.34108
0,6,15.1019,13.49303,11.68149,8.116527,10.96607
0,9,13.04685,11.08298,9.595004,6.6508,8.999854
0,12,11.21558,9.293066,8.045401,5.571078,7.543731
0,15,9.691462,8.033593,6.955022,4.812806,6.519823
0,18,8.481848,7.139723,6.181161,4.275188,5.793392
0,21,7.546853,6.494608,5.622657,3.887575,5.269303
0,24,6.834104,6.021784,5.213313,3.603787,4.885325
0,27,6.29414,5.67038,4.909089,3.393101,4.600059
0,30,5.885464,5.405494,4.679766,3.234451,4.385104
0,33,5.575164,5.202782,4.504269,3.113154,4.220657
0,36,5.337945,5.045007,4.367676,3.018825,4.092701
0,39,5.154719,4.919912,4.259376,2.944087,3.991274
0,42,5.011264,4.818702,4.171755,2.883651,3.909228
0,45,4.897071,4.735015,4.099303,2.833694,3.841394
0,48,4.804389,4.66422,4.038013,2.791438,3.784013
0,51,4.727525,4.60297,3.984986,2.754878,3.734367
0,54,4.662327,4.548839,3.938123,2.722561,3.690488
0,57,4.605761,4.500046,3.89588,2.693422,3.650933
0,60,4.555601,4.45528,3.857125,2.666678,3.614637
0,63,4.510215,4.413579,3.821023,2.641756,3.580822
0,66,4.468411,4.374237,3.786963,2.618235,3.548916
0,69,4.429323,4.336737,3.754497,2.595808,3.5185
0,72,4.392309,4.300691,3.72329,2.574243,3.48926
0,75,4.356891,4.265805,3.693088,2.553367,3.460959
0,78,4.322717,4.231861,3.663702,2.533051,3.43342
0,81,4.289519,4.198692,3.634986,2.513195,3.406508
0,84,4.257106,4.166177,3.606836,2.493727,3.380126
0,87,4.225346,4.13423,3.579178,2.474598,3.354203
0,90,4.194138,4.102783,3.551953,2.455766,3.328685
0,93,4.16341,4.071786,3.525118,2.437204,3.303532
0,96,4.133096,4.041191,3.49863,2.418881,3.278705
0,99,4.10316,4.010972,3.472468,2.400783,3.254183
0,102,4.073548,3.981088,3.446597,2.382886,3.229934
0,105,4.044241,3.951526,3.421004,2.365182,3.205944
0,108,4.015206,3.92226,3.395667,2.347655,3.182196
0,111,3.986433,3.893281,3.370578,2.3303,3.15868
0,114,3.957911,3.864577,3.345728,2.31311,3.135387
0,117,3.929632,3.83614,3.321109,2.296081,3.112313
0,120,3.901593,3.807966,3.296718,2.279209,3.08945
0,135,3.764791,3.67079,3.177959,2.197069,2.978141
0,150,3.63321,3.539292,3.064115,2.118337,2.871443
0,165,3.506545,3.413047,2.954819,2.042757,2.769011
0,180,3.384533,3.291712,2.849774,1.970122,2.670564
0,195,3.266944,3.175002,2.748734,1.900259,2.575873
0,210,3.15362,3.0627,2.65151,1.833038,2.484759
0,225,3.04439,2.954601,2.557924,1.768333,2.397055
0,240,2.93908,2.850512,2.467809,1.70603,2.312605
0,255,2.837544,2.750262,2.381019,1.646027,2.231272
0,270,2.739637,2.653696,2.297417,1.588228,2.152926
0,285,2.645223,2.560663,2.216875,1.532545,2.077448
0,300,2.554169,2.471024,2.13927,1.478894,2.004723
0,315,2.466349,2.384644,2.064488,1.427194,1.934642
0,330,2.381641,2.301398,1.992417,1.377369,1.867104
0,345,2.299931,2.221164,1.922956,1.329347,1.80201
0,360,2.221108,2.143826,1.856001,1.283059,1.739266
0,375,2.145065,2.069276,1.79146,1.23844,1.678783
0,390,2.071703,1.99741,1.729243,1.195427,1.620478
0,405,2.000919,1.928122,1.669257,1.153957,1.564264
0,420,1.932622,1.861319,1.611423,1.113975,1.510067
0,435,1.866723,1.796911,1.555662,1.075426,1.457813
0,450,1.803131,1.734802,1.501892,1.038254,1.407424
0,465,1.741765,1.674912,1.450042,1.002409,1.358835
0,480,1.682544,1.617157,1.400041,0.9678419,1.311979
0,495,11.31685,9.595062,8.306852,5.747318,7.786623
0,510,7.455685,6.913241,5.985086,4.136811,5.608319
0,525,6.414057,6.190919,5.359741,3.705025,5.022549
0,540,6.021207,5.861222,5.074308,3.508108,4.755259
0,555,5.772876,5.623525,4.868524,3.365935,4.562458
0,570,5.562309,5.414037,4.687161,3.240525,4.392486
0,585,5.366082,5.217848,4.517312,3.123048,4.233292
0,600,5.178834,5.031015,4.355563,3.011177,4.081691
0,615,4.998962,4.85208,4.200651,2.904044,3.936503
