"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|ArterialBlood|Plasma|Aciclovir|Concentration in container [µmol/l]","Organism|ArterialBlood|Plasma|Aciclovir|Plasma Unbound [µmol/l]","Organism|ArterialBlood|BloodCells|Aciclovir|Concentration in container [µmol/l]","Organism|ArterialBlood|Aciclovir|Whole Blood [µmol/l]"
0,0,0,0,0,0,0
0,3,15.07351,15.50882,13.42664,9.666756,12.76305
0,6,13.55839,12.62984,10.93419,7.678224,10.30258
0,9,11.70298,9.952515,8.616313,6.034656,8.111121
0,12,9.896678,8.08101,6.996073,4.897795,6.584898
0,15,8.372929,6.788497,5.87709,4.113149,5.531084
0,18,7.168872,5.87834,5.089128,3.560944,4.789164
0,21,6.247347,5.226516,4.524816,3.165791,4.257975
0,24,5.552768,4.752397,4.114352,2.878615,3.871719
0,27,5.032049,4.401968,3.81097,2.666538,3.586316
0,30,4.641103,4.138347,3.582742,2.507117,3.371669
0,33,4.345465,3.936059,3.407613,2.384867,3.206999
0,36,4.119167,3.777383,3.270241,2.28902,3.077853
0,39,3.943074,3.649879,3.159855,2.212026,2.974088
0,42,3.803239,3.544803,3.068887,2.148579,2.888578
0,45,3.689585,3.455955,2.991966,2.094925,2.816271
0,48,3.594859,3.378927,2.92528,2.048396,2.753577
0,51,3.513874,3.310603,2.866129,2.007107,2.69796
0,54,3.442927,3.248761,2.81259,1.969718,2.647611
0,57,3.37936,3.1918,2.763276,1.935263,2.601227
0,60,3.321275,3.138571,2.717194,1.903049,2.557876
0,63,3.267314,3.088251,2.67363,1.872581,2.516886
0,66,3.216507,3.04024,2.632065,1.8435,2.477772
0,69,3.168152,2.994102,2.592121,1.815544,2.44018
0,72,3.121737,2.94951,2.553516,1.788517,2.403844
0,75,3.076879,2.90622,2.516038,1.762273,2.368565
0,78,3.033315,2.864058,2.479537,1.736708,2.334203
0,81,2.990858,2.822896,2.443901,1.711745,2.300655
0,84,2.94937,2.782637,2.409046,1.687327,2.267841
0,87,2.908749,2.743205,2.374909,1.663409,2.235701
0,90,2.868906,2.704535,2.341431,1.639952,2.204181
0,93,2.829785,2.666581,2.308573,1.616928,2.173244
0,96,2.791319,2.629292,2.27629,1.594307,2.142849
0,99,2.753477,2.59264,2.244558,1.572072,2.112973
0,102,2.716221,2.556592,2.21335,1.550203,2.08359
0,105,2.679533,2.521131,2.18265,1.528691,2.054684
0,108,2.643397,2.486236,2.15244,1.507522,2.026241
0,111,2.6078,2.451895,2.12271,1.48669,1.998248
0,114,2.572728,2.418092,2.093444,1.466184,1.970695
0,117,2.538169,2.384811,2.064632,1.445995,1.943568
0,120,2.50411,2.35204,2.036261,1.426116,1.916856
0,135,2.340899,2.195391,1.900643,1.331099,1.789174
0,150,2.188775,2.049896,1.774682,1.242856,1.670588
0,165,2.046856,1.914547,1.657505,1.160774,1.560274
0,180,1.914396,1.788509,1.548388,1.084344,1.457551
0,195,1.790729,1.671057,1.446705,1.013123,1.361828
0,210,1.675237,1.561543,1.351894,0.9467191,1.272576
0,225,1.567354,1.459388,1.263454,0.8847783,1.189321
0,240,1.466569,1.364069,1.180933,0.8269842,1.111639
0,255,1.372406,1.27511,1.103917,0.773047,1.03914
0,270,1.284417,1.192069,1.032025,0.7226987,0.9714651
0,285,1.202188,1.114539,0.9649035,0.6756919,0.9082808
0,300,1.125333,1.042144,0.9022284,0.6317994,0.8492821
0,315,1.053497,0.9745389,0.8436996,0.5908108,0.7941867
0,330,0.9863474,0.9114,0.7890376,0.5525305,0.7427313
0,345,0.9235718,0.8524266,0.7379818,0.5167757,0.6946707
0,360,0.8648802,0.797339,0.6902901,0.4833771,0.6497769
0,375,0.8100028,0.7458773,0.6457376,0.452177,0.6078382
